word_id,word,pinyin,video_url,sort_order,category
'00001647,得意,déyì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001647.mp4,183,common
'00000111,地方,dìfāng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000111.mp4,184,common
'00001691,地球,dìqiú,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001691.mp4,185,common
'00000993,地铁,dìtiĕ,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000993.mp4,186,common
'00001140,地图②,dìtú,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001140.mp4,187,common
'00000488,地址,dìzhĭ,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000488.mp4,188,common
00000278_2,登记,dēngjì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000278.mp4,189,common
00000100_0,等,dĕng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000100.mp4,190,common
00000104_2,等同,dĕngtóng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000104.mp4,191,common
'00000305,弟弟,dì·di,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000305.mp4,192,common
00000427_1,第二①,dì-èr,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000427.mp4,193,common
'00000971,第一①,dì-yī,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000971.mp4,194,common
'00000513,第一次,dìyīcì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000513.mp4,195,common
00001220.1_2,点,diǎn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001220.mp4,196,common
00001274_1,电,diàn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001274.mp4,197,common
00000135_0,电话,diànhuà,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000135.mp4,198,common
'00001141,电梯,diàntī,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001141.mp4,199,common
00000258_0,电影,diànyĭng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000258.mp4,200,common
'00001843,电影院,diànyĭngyuàn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001843.mp4,201,common
'00001648,电子,diànzĭ,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001648.mp4,202,common
'00001074,电子邮件,diànziyóujiàn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001074.mp4,203,common
00000216_3,叠①,dié,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000216.mp4,204,common
00000262_2,顶替,dĭngtì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000262.mp4,205,common
00000434_0,丢,diū,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000434.mp4,206,common
'00002309,东②,dōng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00002309.mp4,207,common
00000075_1,东西①,dōng·xi,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000075.mp4,208,common
00000076_1,东西②,dōng·xi,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000076.mp4,209,common
00000025_1,懂,dŏng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000025.mp4,210,common
00001799_0,动车②,dòngchē,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001799.mp4,211,common
